"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","STUDPERTEACHER","PRY","RT","A","2014",15.44,
"DEU","STUDPERTEACHER","PRY","RT","A","2015",15.447,
"DEU","STUDPERTEACHER","PRY","RT","A","2016",15.322,
"DEU","STUDPERTEACHER","PRY","RT","A","2017",15.396,
"GRC","STUDPERTEACHER","PRY","RT","A","2014",9.448,
"GRC","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"HUN","STUDPERTEACHER","PRY","RT","A","2014",11.46,
"HUN","STUDPERTEACHER","PRY","RT","A","2015",11.235,
"HUN","STUDPERTEACHER","PRY","RT","A","2016",11.015,
"HUN","STUDPERTEACHER","PRY","RT","A","2017",10.8,
"ISL","STUDPERTEACHER","PRY","RT","A","2014",,"M"
"ISL","STUDPERTEACHER","PRY","RT","A","2015",10.742,
"ISL","STUDPERTEACHER","PRY","RT","A","2016",10.845,
"ISL","STUDPERTEACHER","PRY","RT","A","2017",11.068,
"IRL","STUDPERTEACHER","PRY","RT","A","2014",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2017",15.653,
"ITA","STUDPERTEACHER","PRY","RT","A","2014",12.382,
"ITA","STUDPERTEACHER","PRY","RT","A","2015",12.357,
"ITA","STUDPERTEACHER","PRY","RT","A","2016",11.56,
"ITA","STUDPERTEACHER","PRY","RT","A","2017",11.653,
"JPN","STUDPERTEACHER","PRY","RT","A","2014",17.143,
"JPN","STUDPERTEACHER","PRY","RT","A","2015",16.906,
"JPN","STUDPERTEACHER","PRY","RT","A","2016",16.635,
"JPN","STUDPERTEACHER","PRY","RT","A","2017",16.427,
"KOR","STUDPERTEACHER","PRY","RT","A","2014",16.862,
"KOR","STUDPERTEACHER","PRY","RT","A","2015",16.787,
"KOR","STUDPERTEACHER","PRY","RT","A","2016",16.466,
"KOR","STUDPERTEACHER","PRY","RT","A","2017",16.421,
"LUX","STUDPERTEACHER","PRY","RT","A","2014",8.944,
"LUX","STUDPERTEACHER","PRY","RT","A","2015",10.74,
"LUX","STUDPERTEACHER","PRY","RT","A","2016",10.52,
"LUX","STUDPERTEACHER","PRY","RT","A","2017",9.01,
"MEX","STUDPERTEACHER","PRY","RT","A","2014",27.409,
"MEX","STUDPERTEACHER","PRY","RT","A","2015",26.927,
"MEX","STUDPERTEACHER","PRY","RT","A","2016",26.742,
"MEX","STUDPERTEACHER","PRY","RT","A","2017",26.552,
"NLD","STUDPERTEACHER","PRY","RT","A","2014",16.552,
"NLD","STUDPERTEACHER","PRY","RT","A","2015",16.554,
"NLD","STUDPERTEACHER","PRY","RT","A","2016",16.774,
"NLD","STUDPERTEACHER","PRY","RT","A","2017",16.65,
"NZL","STUDPERTEACHER","PRY","RT","A","2014",16.36,
"NZL","STUDPERTEACHER","PRY","RT","A","2015",16.451,
"NZL","STUDPERTEACHER","PRY","RT","A","2016",16.571,
"NZL","STUDPERTEACHER","PRY","RT","A","2017",16.903,
"NOR","STUDPERTEACHER","PRY","RT","A","2014",10.29,
"NOR","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"NOR","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"NOR","STUDPERTEACHER","PRY","RT","A","2017",10.163,
"POL","STUDPERTEACHER","PRY","RT","A","2014",10.989,
"POL","STUDPERTEACHER","PRY","RT","A","2015",11.091,
"POL","STUDPERTEACHER","PRY","RT","A","2016",11.357,
"POL","STUDPERTEACHER","PRY","RT","A","2017",10.741,
"PRT","STUDPERTEACHER","PRY","RT","A","2014",13.959,
"PRT","STUDPERTEACHER","PRY","RT","A","2015",13.704,
"PRT","STUDPERTEACHER","PRY","RT","A","2016",13.121,
"PRT","STUDPERTEACHER","PRY","RT","A","2017",12.675,
"SVK","STUDPERTEACHER","PRY","RT","A","2014",17.156,
"SVK","STUDPERTEACHER","PRY","RT","A","2015",17.156,
"SVK","STUDPERTEACHER","PRY","RT","A","2016",17.069,
"SVK","STUDPERTEACHER","PRY","RT","A","2017",17.399,
"ESP","STUDPERTEACHER","PRY","RT","A","2014",13.544,
"ESP","STUDPERTEACHER","PRY","RT","A","2015",13.655,
"ESP","STUDPERTEACHER","PRY","RT","A","2016",13.564,
"ESP","STUDPERTEACHER","PRY","RT","A","2017",13.646,
"SWE","STUDPERTEACHER","PRY","RT","A","2014",12.739,
"SWE","STUDPERTEACHER","PRY","RT","A","2015",12.831,
"SWE","STUDPERTEACHER","PRY","RT","A","2016",13.055,
"SWE","STUDPERTEACHER","PRY","RT","A","2017",12.827,
"CHE","STUDPERTEACHER","PRY","RT","A","2014",13.796,
"CHE","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"CHE","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"CHE","STUDPERTEACHER","PRY","RT","A","2017",15.299,
"TUR","STUDPERTEACHER","PRY","RT","A","2014",19.327,
"TUR","STUDPERTEACHER","PRY","RT","A","2015",18.405,
"TUR","STUDPERTEACHER","PRY","RT","A","2016",17.694,
"TUR","STUDPERTEACHER","PRY","RT","A","2017",16.978,
"GBR","STUDPERTEACHER","PRY","RT","A","2014",19.622,
"GBR","STUDPERTEACHER","PRY","RT","A","2015",18.358,
"GBR","STUDPERTEACHER","PRY","RT","A","2016",16.946,
"GBR","STUDPERTEACHER","PRY","RT","A","2017",16.895,
"USA","STUDPERTEACHER","PRY","RT","A","2014",15.435,
"USA","STUDPERTEACHER","PRY","RT","A","2015",15.354,
"USA","STUDPERTEACHER","PRY","RT","A","2016",15.216,
"USA","STUDPERTEACHER","PRY","RT","A","2017",15.182,
"ARG","STUDPERTEACHER","PRY","RT","A","2014",,"M"
"ARG","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"BRA","STUDPERTEACHER","PRY","RT","A","2014",20.918,
"BRA","STUDPERTEACHER","PRY","RT","A","2015",24.791,
"BRA","STUDPERTEACHER","PRY","RT","A","2016",24.443,
"BRA","STUDPERTEACHER","PRY","RT","A","2017",24.259,
"CHL","STUDPERTEACHER","PRY","RT","A","2014",21.318,
"CHL","STUDPERTEACHER","PRY","RT","A","2015",20.89,
"CHL","STUDPERTEACHER","PRY","RT","A","2016",20.291,
"CHL","STUDPERTEACHER","PRY","RT","A","2017",19.77,
"CHN","STUDPERTEACHER","PRY","RT","A","2014",16.231,
"CHN","STUDPERTEACHER","PRY","RT","A","2015",16.294,
"CHN","STUDPERTEACHER","PRY","RT","A","2016",16.549,
"COL","STUDPERTEACHER","PRY","RT","A","2014",24.287,
"COL","STUDPERTEACHER","PRY","RT","A","2015",23.799,
"COL","STUDPERTEACHER","PRY","RT","A","2016",24.231,
"COL","STUDPERTEACHER","PRY","RT","A","2017",23.601,
"CRI","STUDPERTEACHER","PRY","RT","A","2014",13.227,
"CRI","STUDPERTEACHER","PRY","RT","A","2015",12.676,
"CRI","STUDPERTEACHER","PRY","RT","A","2016",11.979,
"CRI","STUDPERTEACHER","PRY","RT","A","2017",11.643,
"EST","STUDPERTEACHER","PRY","RT","A","2014",12.892,
"EST","STUDPERTEACHER","PRY","RT","A","2015",13.347,
"EST","STUDPERTEACHER","PRY","RT","A","2016",13.192,
"EST","STUDPERTEACHER","PRY","RT","A","2017",13.192,
"IND","STUDPERTEACHER","PRY","RT","A","2014",31.289,
"IND","STUDPERTEACHER","PRY","RT","A","2015",31.491,
"IND","STUDPERTEACHER","PRY","RT","A","2016",35.216,
"IDN","STUDPERTEACHER","PRY","RT","A","2014",16.559,
"IDN","STUDPERTEACHER","PRY","RT","A","2015",,"M"
"IDN","STUDPERTEACHER","PRY","RT","A","2016",13.978,
"ISR","STUDPERTEACHER","PRY","RT","A","2014",15.468,
"ISR","STUDPERTEACHER","PRY","RT","A","2015",15.434,
"ISR","STUDPERTEACHER","PRY","RT","A","2016",15.418,
"ISR","STUDPERTEACHER","PRY","RT","A","2017",15.172,
"LVA","STUDPERTEACHER","PRY","RT","A","2014",11.169,
"LVA","STUDPERTEACHER","PRY","RT","A","2015",11.603,
"LVA","STUDPERTEACHER","PRY","RT","A","2016",11.415,
"LVA","STUDPERTEACHER","PRY","RT","A","2017",12.075,
"LTU","STUDPERTEACHER","PRY","RT","A","2014",10.233,
"LTU","STUDPERTEACHER","PRY","RT","A","2015",10.256,
"LTU","STUDPERTEACHER","PRY","RT","A","2016",10.47,
"LTU","STUDPERTEACHER","PRY","RT","A","2017",10.619,
"RUS","STUDPERTEACHER","PRY","RT","A","2014",20.239,
"RUS","STUDPERTEACHER","PRY","RT","A","2015",20.566,
"RUS","STUDPERTEACHER","PRY","RT","A","2016",21.038,
"RUS","STUDPERTEACHER","PRY","RT","A","2017",21.105,
"SAU","STUDPERTEACHER","PRY","RT","A","2014",10.759,
"SAU","STUDPERTEACHER","PRY","RT","A","2015",10.901,
"SAU","STUDPERTEACHER","PRY","RT","A","2016",11.681,
"SVN","STUDPERTEACHER","PRY","RT","A","2014",15.862,
"SVN","STUDPERTEACHER","PRY","RT","A","2015",15.888,
"SVN","STUDPERTEACHER","PRY","RT","A","2016",14.282,
"SVN","STUDPERTEACHER","PRY","RT","A","2017",14.45,
"ZAF","STUDPERTEACHER","PRY","RT","A","2014",32.768,
"ZAF","STUDPERTEACHER","PRY","RT","A","2015",30.332,
"ZAF","STUDPERTEACHER","PRY","RT","A","2016",30.332,
