"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","GDEXPRD","TOT","PC_GDP","A","2016",1.29523598546784,
"LUX","GDEXPRD","TOT","PC_GDP","A","2017",1.2560720168692,
"MEX","GDEXPRD","TOT","PC_GDP","A","2014",0.53036603800259,
"MEX","GDEXPRD","TOT","PC_GDP","A","2015",0.52376584727987,
"MEX","GDEXPRD","TOT","PC_GDP","A","2016",0.48609043334085,
"NLD","GDEXPRD","TOT","PC_GDP","A","2014",1.97567748242897,
"NLD","GDEXPRD","TOT","PC_GDP","A","2015",1.98487379856466,
"NLD","GDEXPRD","TOT","PC_GDP","A","2016",1.99684655750017,
"NLD","GDEXPRD","TOT","PC_GDP","A","2017",1.99111862456719,
"NZL","GDEXPRD","TOT","PC_GDP","A","2015",1.23410149855182,
"NZL","GDEXPRD","TOT","PC_GDP","A","2017",1.36570242136865,
"NOR","GDEXPRD","TOT","PC_GDP","A","2014",1.71187272874615,
"NOR","GDEXPRD","TOT","PC_GDP","A","2015",1.93094804683341,
"NOR","GDEXPRD","TOT","PC_GDP","A","2016",2.03074026959929,
"NOR","GDEXPRD","TOT","PC_GDP","A","2017",2.09343120572055,
"POL","GDEXPRD","TOT","PC_GDP","A","2014",0.93977668373604,
"POL","GDEXPRD","TOT","PC_GDP","A","2015",1.00324514450392,
"POL","GDEXPRD","TOT","PC_GDP","A","2016",0.96410103207115,
"POL","GDEXPRD","TOT","PC_GDP","A","2017",1.03445207744981,
"PRT","GDEXPRD","TOT","PC_GDP","A","2014",1.28972792230695,
"PRT","GDEXPRD","TOT","PC_GDP","A","2015",1.2426348191652,
"PRT","GDEXPRD","TOT","PC_GDP","A","2016",1.2808136119319,
"PRT","GDEXPRD","TOT","PC_GDP","A","2017",1.32832511357834,
"PRT","GDEXPRD","TOT","PC_GDP","A","2018",1.36552319702261,
"SVK","GDEXPRD","TOT","PC_GDP","A","2014",0.8800785405921,
"SVK","GDEXPRD","TOT","PC_GDP","A","2015",1.17171164858578,
"SVK","GDEXPRD","TOT","PC_GDP","A","2016",0.78895233553886,
"SVK","GDEXPRD","TOT","PC_GDP","A","2017",0.88267211013053,
"ESP","GDEXPRD","TOT","PC_GDP","A","2014",1.23535453161435,
"ESP","GDEXPRD","TOT","PC_GDP","A","2015",1.21831542826488,
"ESP","GDEXPRD","TOT","PC_GDP","A","2016",1.18525881279257,
"ESP","GDEXPRD","TOT","PC_GDP","A","2017",1.2057973933375,
"SWE","GDEXPRD","TOT","PC_GDP","A","2014",3.14261245773518,
"SWE","GDEXPRD","TOT","PC_GDP","A","2015",3.26418175417936,
"SWE","GDEXPRD","TOT","PC_GDP","A","2016",3.26923037457328,
"SWE","GDEXPRD","TOT","PC_GDP","A","2017",3.39676070300009,
"SWE","GDEXPRD","TOT","PC_GDP","A","2018",3.33937179282955,
"CHE","GDEXPRD","TOT","PC_GDP","A","2015",3.37160221904505,
"CHE","GDEXPRD","TOT","PC_GDP","A","2017",3.37286257406061,
"TUR","GDEXPRD","TOT","PC_GDP","A","2014",0.86076843867068,
"TUR","GDEXPRD","TOT","PC_GDP","A","2015",0.88150300773803,
"TUR","GDEXPRD","TOT","PC_GDP","A","2016",0.94464285083045,
"TUR","GDEXPRD","TOT","PC_GDP","A","2017",0.96105343000978,
"GBR","GDEXPRD","TOT","PC_GDP","A","2014",1.65914888887082,
"GBR","GDEXPRD","TOT","PC_GDP","A","2015",1.66817962917737,
"GBR","GDEXPRD","TOT","PC_GDP","A","2016",1.68211202300657,
"GBR","GDEXPRD","TOT","PC_GDP","A","2017",1.6638133047493,
"USA","GDEXPRD","TOT","PC_GDP","A","2014",2.71920374149906,
"USA","GDEXPRD","TOT","PC_GDP","A","2015",2.7174374510718,
"USA","GDEXPRD","TOT","PC_GDP","A","2016",2.75965565965042,
"USA","GDEXPRD","TOT","PC_GDP","A","2017",2.78798057663089,
"ARG","GDEXPRD","TOT","PC_GDP","A","2014",0.59249253387918,
"ARG","GDEXPRD","TOT","PC_GDP","A","2015",0.61854097910637,
"ARG","GDEXPRD","TOT","PC_GDP","A","2016",0.53019201749038,
"ARG","GDEXPRD","TOT","PC_GDP","A","2017",0.54151901216975,
"CHL","GDEXPRD","TOT","PC_GDP","A","2014",0.37503434189942,
"CHL","GDEXPRD","TOT","PC_GDP","A","2015",0.38072710568745,
"CHL","GDEXPRD","TOT","PC_GDP","A","2016",0.36949088428044,
"CHL","GDEXPRD","TOT","PC_GDP","A","2017",0.35518189291334,
"CHN","GDEXPRD","TOT","PC_GDP","A","2014",2.02963097277541,
"CHN","GDEXPRD","TOT","PC_GDP","A","2015",2.0656022256207,
"CHN","GDEXPRD","TOT","PC_GDP","A","2016",2.1183054703073,
"CHN","GDEXPRD","TOT","PC_GDP","A","2017",2.14511571733465,
"EST","GDEXPRD","TOT","PC_GDP","A","2014",1.429307198995,
"EST","GDEXPRD","TOT","PC_GDP","A","2015",1.46629803876512,
"EST","GDEXPRD","TOT","PC_GDP","A","2016",1.24680350371247,
"EST","GDEXPRD","TOT","PC_GDP","A","2017",1.28866639669828,
"ISR","GDEXPRD","TOT","PC_GDP","A","2014",4.17585905047665,
"ISR","GDEXPRD","TOT","PC_GDP","A","2015",4.25761248845836,
"ISR","GDEXPRD","TOT","PC_GDP","A","2016",4.39313893074193,
"ISR","GDEXPRD","TOT","PC_GDP","A","2017",4.54473721140171,
"ROU","GDEXPRD","TOT","PC_GDP","A","2014",0.38224640179386,
"ROU","GDEXPRD","TOT","PC_GDP","A","2015",0.48793046976106,
"ROU","GDEXPRD","TOT","PC_GDP","A","2016",0.48032570444395,
"ROU","GDEXPRD","TOT","PC_GDP","A","2017",0.5039048629983,
"RUS","GDEXPRD","TOT","PC_GDP","A","2014",1.07011446267789,
"RUS","GDEXPRD","TOT","PC_GDP","A","2015",1.09893106522767,
"RUS","GDEXPRD","TOT","PC_GDP","A","2016",1.09690280696592,
"RUS","GDEXPRD","TOT","PC_GDP","A","2017",1.10617668882191,
"SGP","GDEXPRD","TOT","PC_GDP","A","2014",2.09530204047698,
"SGP","GDEXPRD","TOT","PC_GDP","A","2015",2.19440868693682,
"SGP","GDEXPRD","TOT","PC_GDP","A","2016",2.08996224896476,
"SGP","GDEXPRD","TOT","PC_GDP","A","2017",1.95425098079703,
"SVN","GDEXPRD","TOT","PC_GDP","A","2014",2.36742983686345,
"SVN","GDEXPRD","TOT","PC_GDP","A","2015",2.19504268448926,
"SVN","GDEXPRD","TOT","PC_GDP","A","2016",2.01191497985074,
"SVN","GDEXPRD","TOT","PC_GDP","A","2017",1.86311482099175,
"ZAF","GDEXPRD","TOT","PC_GDP","A","2014",0.77115062398146,
"ZAF","GDEXPRD","TOT","PC_GDP","A","2015",0.79845934933,
"ZAF","GDEXPRD","TOT","PC_GDP","A","2016",0.81882256922786,
"TWN","GDEXPRD","TOT","PC_GDP","A","2014",3.01435257952957,
"TWN","GDEXPRD","TOT","PC_GDP","A","2015",3.05948951102985,
"TWN","GDEXPRD","TOT","PC_GDP","A","2016",3.1645743892747,
"TWN","GDEXPRD","TOT","PC_GDP","A","2017",3.29525677255477,
"EU28","GDEXPRD","TOT","PC_GDP","A","2014",1.94469488403041,
"EU28","GDEXPRD","TOT","PC_GDP","A","2015",1.95583504184547,
"EU28","GDEXPRD","TOT","PC_GDP","A","2016",1.94037241991751,
"EU28","GDEXPRD","TOT","PC_GDP","A","2017",1.97358095184705,
"OECD","GDEXPRD","TOT","PC_GDP","A","2014",2.35230696393904,
"OECD","GDEXPRD","TOT","PC_GDP","A","2015",2.34397123470763,
"OECD","GDEXPRD","TOT","PC_GDP","A","2016",2.34112122216313,
"OECD","GDEXPRD","TOT","PC_GDP","A","2017",2.37221099584801,
"LVA","GDEXPRD","TOT","PC_GDP","A","2014",0.68930001033527,
"LVA","GDEXPRD","TOT","PC_GDP","A","2015",0.62581403109597,
"LVA","GDEXPRD","TOT","PC_GDP","A","2016",0.44093536929915,
"LVA","GDEXPRD","TOT","PC_GDP","A","2017",0.51011620735739,
"LTU","GDEXPRD","TOT","PC_GDP","A","2014",1.03047502777653,
"LTU","GDEXPRD","TOT","PC_GDP","A","2015",1.0409546807372,
"LTU","GDEXPRD","TOT","PC_GDP","A","2016",0.84328645539015,
"LTU","GDEXPRD","TOT","PC_GDP","A","2017",0.89807664953289,
